ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
94060,Larisa Leonidovna Petrik (-Klimenko),F,19,163,52,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Floor Exercise,Gold
94060,Larisa Leonidovna Petrik (-Klimenko),F,19,163,52,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Balance Beam,Bronze
94065,Gyula Petrikovics,M,25,173,67,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
94066,Mihaela Petril,F,25,190,74,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Bronze
94071,Silvijo Petriko,M,20,174,54,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Bronze
94072,Gerhard Petritsch,M,39,180,85,Austria,AUT,1980 Summer,1980,Summer,Moskva,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Bronze
94074,Oleksandr Sviatoslavovych Petriv,M,34,175,72,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
94078,Pedro Petrone Schiavone,M,18,173,74,Uruguay,URU,1924 Summer,1924,Summer,Paris,Football,Football Men's Football,Gold
94078,Pedro Petrone Schiavone,M,23,173,74,Uruguay,URU,1928 Summer,1928,Summer,Amsterdam,Football,Football Men's Football,Gold
94091,"John Edward ""Jack"" Petroske",M,21,183,83,United States,USA,1956 Winter,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
94094,Eleftherios Petrounias,M,25,164,62,Greece,GRE,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Gold
94098,Aleksandr Pavlovich Petrov,M,21,208,103,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Silver
94098,Aleksandr Pavlovich Petrov,M,25,208,103,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Silver
94100,Aleksey Aleksandrovich Petrov,M,21,170,92,Russia,RUS,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
94100,Aleksey Aleksandrovich Petrov,M,26,170,92,Russia,RUS,2000 Summer,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
94101,Aleksey Stepanovich Petrov,M,23,177,76,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
